sheet 1,sheet 2
0.07879,1.33586
0.07878,1.34007
0.07867,1.34427
0.07846,1.34847
0.07825,1.35267
0.07804,1.35688
0.07782,1.36108
0.0775,1.36529
0.07708,1.36949
0.07667,1.37369
0.07625,1.3779
0.07583,1.38212
0.07529,1.38633
0.07466,1.39054
0.07403,1.39475
0.07339,1.39898
0.07276,1.40322
0.07198,1.40745
0.07113,1.41166
0.07028,1.4159
0.06942,1.42015
0.06856,1.42443
0.06752,1.42866
0.06644,1.4329
0.06536,1.43716
0.06427,1.44145
0.06314,1.44575
0.06182,1.44999
0.0605,1.45426
0.05917,1.45855
0.05783,1.46288
0.05635,1.46716
0.05478,1.47143
0.0532,1.47572
0.05161,1.48005
0.04996,1.48439
0.04813,1.48865
0.04628,1.49294
0.04442,1.49726
0.04254,1.50163
0.04045,1.50588
0.03833,1.51015
0.03618,1.51446
0.03402,1.51881
0.03167,1.52304
0.02925,1.52728
0.02681,1.53156
0.02435,1.53587
0.02168,1.54005
0.01896,1.54423
0.01622,1.54845
0.01343,1.55271
0.01042,1.55677
0.00739,1.56087
0.00432,1.56501
0.00114,1.5691
-0.00219,1.57305
-0.00555,1.57704
-0.00895,1.58107
-0.01254,1.58489
-0.0162,1.58869
-0.01989,1.59254
-0.0237,1.59628
-0.02765,1.59987
-0.03164,1.60349
-0.03569,1.60711
-0.03992,1.61044
-0.04419,1.6138
-0.0485,1.6172
-0.053,1.62027
-0.05754,1.62334
-0.06212,1.62643
-0.06685,1.62922
-0.07164,1.63196
-0.07648,1.63471
-0.08144,1.63716
-0.08646,1.63952
-0.09151,1.6419
-0.09669,1.64394
-0.1019,1.6459
-0.10715,1.64787
-0.1125,1.64944
-0.11788,1.65096
-0.12329,1.65249
-0.12878,1.65355
-0.13428,1.65462
-0.13981,1.65561
-0.14538,1.6562
-0.15096,1.65679
-0.15656,1.65721
-0.16217,1.65731
-0.16778,1.65741
-0.17339,1.65725
-0.17899,1.65686
-0.18459,1.65648
-0.19016,1.65574
-0.1957,1.65486
-0.20123,1.65399
-0.2067,1.65269
-0.21214,1.65134
-0.21756,1.64998
-0.22288,1.64817
-0.22817,1.64637
-0.23342,1.6445
-0.23856,1.64226
-0.24367,1.64004
-0.24873,1.63771
-0.25365,1.63508
-0.25854,1.63246
-0.26336,1.62974
-0.26804,1.62674
-0.27269,1.62377
-0.27726,1.62072
-0.28167,1.61739
-0.28605,1.6141
-0.29037,1.61078
-0.2945,1.60717
-0.29859,1.60359
-0.30264,1.60005
-0.30649,1.59621
-0.31028,1.59239
-0.31404,1.58861
-0.31764,1.58466
-0.32113,1.58063
-0.32458,1.57665
-0.32796,1.57263
-0.33114,1.56843
-0.3343,1.56428
-0.33742,1.56017
-0.34036,1.55591
-0.34321,1.55162
-0.34603,1.54737
-0.34882,1.54316
-0.35138,1.53876
-0.3539,1.5344
-0.3564,1.53009
-0.35883,1.52578
-0.36107,1.52134
-0.36329,1.51695
-0.36548,1.5126
-0.3676,1.50824
-0.36954,1.50378
-0.37146,1.49937
-0.37336,1.495
-0.37521,1.49064
-0.37686,1.48619
-0.3785,1.48178
-0.38012,1.4774
-0.38174,1.47306
-0.38314,1.46863
-0.38451,1.46423
-0.38587,1.45986
-0.38722,1.45552
-0.38846,1.45116
-0.38958,1.44677
-0.39069,1.44242
-0.39179,1.43809
-0.39288,1.43379
-0.39378,1.42944
-0.39465,1.4251
-0.39551,1.42079
-0.39637,1.4165
-0.39718,1.41222
-0.39782,1.40791
-0.39846,1.40361
-0.39909,1.39934
-0.39972,1.39509
-0.40027,1.39083
-0.40069,1.38656
-0.4011,1.3823
-0.40152,1.37806
-0.40193,1.37383
-0.40224,1.3696
-0.40244,1.36536
-0.40265,1.36114
-0.40285,1.35692
-0.40305,1.3527
-0.40314,1.34849
-0.40314,1.34427
-0.40313,1.34007
-0.40313,1.33586
-0.40312,1.33165
-0.40301,1.32745
-0.4028,1.32325
-0.40259,1.31905
-0.40238,1.31484
-0.40217,1.31064
-0.40184,1.30643
-0.40143,1.30223
-0.40101,1.29803
-0.40059,1.29382
-0.40017,1.2896
-0.39963,1.28539
-0.399,1.28118
-0.39837,1.27697
-0.39773,1.27274
-0.3971,1.2685
-0.39632,1.26427
-0.39547,1.26005
-0.39462,1.25582
-0.39377,1.25157
-0.3929,1.24729
-0.39186,1.24306
-0.39078,1.23882
-0.3897,1.23456
-0.38861,1.23027
-0.38748,1.22597
-0.38616,1.22173
-0.38484,1.21746
-0.38351,1.21317
-0.38217,1.20884
-0.38069,1.20456
-0.37912,1.20029
-0.37754,1.196
-0.37595,1.19167
-0.3743,1.18732
-0.37247,1.18307
-0.37062,1.17878
-0.36876,1.17445
-0.36688,1.17009
-0.36479,1.16584
-0.36267,1.16157
-0.36052,1.15726
-0.35836,1.15291
-0.35601,1.14868
-0.35359,1.14444
-0.35115,1.14016
-0.34869,1.13584
-0.34602,1.13167
-0.3433,1.12749
-0.34056,1.12327
-0.33777,1.11901
-0.33476,1.11495
-0.33173,1.11085
-0.32866,1.10671
-0.32548,1.10262
-0.32215,1.09867
-0.31879,1.09468
-0.31539,1.09065
-0.3118,1.08683
-0.30814,1.08303
-0.30445,1.07918
-0.30064,1.07544
-0.29669,1.07185
-0.2927,1.06823
-0.28865,1.06462
-0.28442,1.06128
-0.28015,1.05792
-0.27584,1.05452
-0.27134,1.05145
-0.2668,1.04838
-0.26222,1.04529
-0.25749,1.0425
-0.2527,1.03976
-0.24786,1.03701
-0.2429,1.03456
-0.23788,1.0322
-0.23282,1.02982
-0.22765,1.02778
-0.22243,1.02583
-0.21718,1.02386
-0.21184,1.02228
-0.20645,1.02076
-0.20105,1.01923
-0.19556,1.01817
-0.19006,1.0171
-0.18453,1.01611
-0.17896,1.01553
-0.17338,1.01494
-0.16778,1.01451
-0.16217,1.01441
-0.15656,1.01431
-0.15095,1.01447
-0.14535,1.01486
-0.13975,1.01525
-0.13418,1.01599
-0.12864,1.01686
-0.12311,1.01773
-0.11764,1.01904
-0.1122,1.02038
-0.10678,1.02175
-0.10146,1.02356
-0.09617,1.02535
-0.09092,1.02723
-0.08578,1.02946
-0.08067,1.03168
-0.07562,1.03401
-0.07069,1.03665
-0.0658,1.03926
-0.06098,1.04198
-0.0563,1.04498
-0.05165,1.04796
-0.04708,1.05101
-0.04267,1.05433
-0.03829,1.05763
-0.03398,1.06095
-0.02985,1.06456
-0.02576,1.06813
-0.0217,1.07168
-0.01786,1.07551
-0.01406,1.07933
-0.01031,1.08312
-0.00671,1.08707
-0.00322,1.09109
0.00024,1.09508
0.00362,1.09909
0.0068,1.10329
0.00995,1.10744
0.01307,1.11156
0.01602,1.11581
0.01887,1.1201
0.02169,1.12435
0.02448,1.12856
0.02703,1.13296
0.02956,1.13732
0.03206,1.14163
0.03449,1.14595
0.03673,1.15038
0.03894,1.15478
0.04114,1.15913
0.04326,1.16349
0.04519,1.16794
0.04711,1.17235
0.04901,1.17672
0.05087,1.18108
0.05252,1.18553
0.05416,1.18995
0.05578,1.19432
0.05739,1.19866
0.0588,1.20309
0.06017,1.20749
0.06153,1.21186
0.06288,1.2162
0.06412,1.22056
0.06523,1.22495
0.06634,1.2293
0.06744,1.23363
0.06854,1.23793
0.06943,1.24229
0.0703,1.24662
0.07117,1.25093
0.07203,1.25522
0.07284,1.2595
0.07348,1.26382
0.07412,1.26811
0.07475,1.27238
0.07538,1.27663
0.07593,1.28089
0.07634,1.28516
0.07676,1.28942
0.07717,1.29366
0.07759,1.29789
0.0779,1.30212
0.0781,1.30636
0.0783,1.31059
0.07851,1.3148
0.07871,1.31902
0.0788,1.32323
0.0788,1.32745
0.07879,1.33165
0.2728,1.33586
0.27222,1.34344
0.27115,1.35099
0.26957,1.35849
0.26738,1.3659
0.26485,1.37322
0.26162,1.3804
0.25818,1.38747
0.25403,1.39435
0.24978,1.40111
0.24484,1.40763
0.23986,1.41401
0.23429,1.42013
0.22869,1.4261
0.22266,1.43181
0.21654,1.43733
0.2102,1.44264
0.20367,1.44771
0.19718,1.45262
0.19033,1.45723
0.18365,1.46173
0.17674,1.46596
0.16984,1.47
0.16311,1.47393
0.15606,1.47755
0.14922,1.48106
0.14246,1.48444
